iter	RMSE
0	0.9437607137
1	0.9039236688
2	0.8793465657
3	0.8621149308
4	0.8498840773
5	0.8383402404
6	0.82744434
7	0.818657715
8	0.813831701
9	0.8099953391
10	0.8043519416
11	0.8011517389
12	0.7980074452
13	0.7952010305
14	0.7931114219
15	0.7915677242
16	0.7895226605
17	0.7875716092
18	0.7856683746
19	0.7806497273
20	0.7796186895
21	0.7779670158
22	0.7767220221
23	0.7760478241
24	0.7751826959
25	0.7736498477
26	0.7732539471
27	0.7722452264
28	0.7711284495
29	0.7703794797
30	0.7700963979
31	0.7695729274
32	0.7689094284
33	0.767906802
34	0.7674046752
35	0.7518231171
36	0.7508935565
37	0.7500769736
38	0.7496097149
39	0.7489782955
40	0.7387069242
41	0.7376113547
42	0.737036623
43	0.7313400309
44	0.7302934751
45	0.7292107318
46	0.7287126167
47	0.7280770657
48	0.7268855356
49	0.726237338
50	0.7254688733
51	0.7253587813
52	0.7249482415
53	0.7242918898
54	0.7184048672
55	0.717658961
56	0.7168754438
57	0.7166418814
58	0.7160214033
59	0.7154422636
60	0.7150691798
61	0.7138694903
62	0.7130624807
63	0.7126287124
64	0.7061497314
65	0.7005156184
66	0.7001557381
67	0.6995965426
68	0.6967610062
69	0.6962569606
70	0.6959761424
71	0.6956320733
72	0.6953557972
73	0.6949564242
74	0.6945383382
75	0.6942991101
76	0.693670944
77	0.6933193219
78	0.6928704074
79	0.6928197379
80	0.6925230084
81	0.6910549869
82	0.6908049418
83	0.6905816493
84	0.6902581421
85	0.6899169812
86	0.6853168586
87	0.6850794448
88	0.684670991
89	0.6845291289
90	0.6844111608
91	0.6838868398
92	0.6836132621
93	0.6833354896
94	0.682997282
95	0.6828451647
96	0.6825571303
97	0.6822950778
98	0.6819920824
99	0.6815034715
100	0.6809570065
101	0.6808710116
102	0.6795608338
103	0.6793956701
104	0.6767642039
105	0.6765595184
106	0.6764332134
107	0.6762520051
108	0.675757663
109	0.6755695712
110	0.6754193219
111	0.6753432363
112	0.6750367867
113	0.6749483975
114	0.6748014014
115	0.6747513203
116	0.6746412135
117	0.6745215359
118	0.6743132295
119	0.6741765004
120	0.6739330645
121	0.6737846835
122	0.6715229335
123	0.6711449078
124	0.6708803859
125	0.6693152848
126	0.6689631299
127	0.6685165582
128	0.6684913764
129	0.6683773637
130	0.6681440839
131	0.6679246673
132	0.6676843128
133	0.6674251609
134	0.6672992859
135	0.6671899607
136	0.6671591986
137	0.6669492459
138	0.6668233837
139	0.66645271
140	0.6663507836
141	0.6660282184
142	0.6659130097
143	0.665588214
144	0.6651852586
145	0.6646157276
146	0.6643834283
147	0.6638503296
148	0.6636254657
149	0.663240704
150	0.6629758835
151	0.6627251168
152	0.6626206017
153	0.6623486147
154	0.6623073033
155	0.662107943
156	0.6617975517
157	0.6601232148
158	0.6599058161
159	0.6597058097
160	0.6595852214
161	0.6591473282
162	0.6587832496
163	0.6586344387
164	0.6584733092
165	0.6583454707
166	0.6579426771
167	0.6578917002
168	0.6577994819
169	0.6577098951
170	0.6576968026
171	0.6576118805
172	0.6562703317
173	0.6561115922
174	0.6554768669
175	0.6550118681
176	0.6549172033
177	0.654206075
178	0.6539873217
179	0.6536996019
180	0.6535663875
181	0.6534030797
182	0.6531149717
183	0.6530067378
184	0.6529486873
185	0.6526294538
186	0.6525931798
187	0.6522276015
188	0.6520109674
189	0.6519046056
190	0.6516035856
191	0.6515359424
192	0.6514012311
193	0.6511716929
194	0.6510959781
195	0.6509303903
196	0.6508362677
197	0.6497651493
198	0.6496940013
199	0.6496362348
200	0.6495590277
201	0.6492894665
202	0.6490761171
203	0.648979535
204	0.6489544285
205	0.648857866
206	0.6487801729
207	0.6463158112
208	0.6459347194
209	0.6458515047
210	0.6455203286
211	0.6453530341
212	0.6452391312
213	0.6450525553
214	0.6449066713
215	0.6447556403
