iter	Passed	Remaining
0	5	2969
1	11	2805
2	16	2698
3	22	2814
4	28	2816
5	32	2662
6	38	2687
7	43	2683
8	49	2701
9	53	2642
10	59	2663
11	64	2605
12	69	2622
13	75	2632
14	81	2643
15	86	2622
16	93	2642
17	99	2654
18	104	2648
19	110	2640
20	114	2616
21	119	2604
22	125	2594
23	129	2569
24	133	2541
25	140	2559
26	144	2529
27	149	2521
28	155	2527
29	160	2512
30	166	2518
31	171	2509
32	176	2504
33	182	2494
34	186	2476
35	192	2485
36	197	2474
37	201	2447
38	206	2439
39	211	2436
40	218	2444
41	224	2452
42	229	2442
43	235	2437
44	240	2432
45	246	2430
46	250	2414
47	256	2416
48	261	2407
49	266	2396
50	272	2395
51	275	2377
52	281	2376
53	288	2382
54	296	2396
55	302	2397
56	307	2389
57	311	2373
58	317	2370
59	322	2361
60	325	2345
61	331	2339
62	336	2331
63	340	2320
64	346	2320
65	352	2317
66	359	2320
67	364	2316
68	369	2306
69	373	2297
70	379	2292
71	384	2285
72	388	2273
73	395	2274
74	400	2268
75	405	2260
76	410	2253
77	414	2243
78	420	2241
79	424	2231
80	429	2221
81	435	2221
82	441	2216
83	446	2210
84	450	2199
85	455	2194
86	462	2194
87	467	2187
88	472	2180
89	477	2173
90	481	2164
91	486	2158
92	491	2149
93	496	2145
94	501	2138
95	504	2124
96	509	2117
97	513	2108
98	517	2094
99	522	2090
100	527	2082
101	532	2076
102	536	2069
103	541	2062
104	548	2063
105	553	2057
106	558	2051
107	563	2044
108	567	2036
109	571	2027
110	578	2026
111	582	2016
112	586	2009
113	591	2001
114	594	1991
115	598	1981
116	603	1974
117	608	1969
118	613	1963
119	618	1957
120	623	1951
121	626	1942
122	633	1940
123	637	1933
124	643	1929
125	650	1930
126	655	1924
127	660	1920
128	665	1913
129	669	1906
130	675	1901
131	679	1894
132	685	1891
133	689	1884
134	694	1876
135	698	1870
136	702	1862
137	706	1854
138	712	1849
139	718	1847
140	722	1840
141	728	1836
142	733	1830
143	737	1823
144	744	1822
145	748	1814
146	753	1808
147	758	1805
148	763	1799
149	769	1795
150	773	1788
151	778	1781
152	782	1773
153	786	1768
154	793	1765
155	798	1760
156	804	1757
157	811	1756
158	815	1748
159	819	1741
160	824	1735
161	829	1731
162	834	1726
163	841	1723
164	845	1717
165	851	1713
166	855	1706
167	861	1702
168	865	1695
169	869	1687
170	874	1682
171	879	1676
172	886	1674
173	890	1667
174	895	1663
175	901	1659
176	906	1653
177	912	1649
178	916	1643
179	920	1636
180	927	1633
181	931	1627
182	936	1621
183	940	1615
184	944	1608
185	948	1601
186	953	1596
187	959	1592
188	965	1588
189	970	1583
190	976	1579
191	981	1573
192	985	1568
193	990	1562
194	995	1557
195	999	1550
196	1004	1544
197	1011	1542
198	1015	1536
199	1020	1530
200	1025	1525
201	1030	1520
202	1034	1514
203	1039	1508
204	1044	1503
205	1049	1497
206	1054	1492
207	1061	1490
208	1066	1485
209	1072	1480
210	1076	1474
211	1081	1469
212	1085	1462
213	1089	1456
214	1093	1449
215	1097	1443
216	1102	1437
217	1107	1432
218	1111	1426
219	1117	1422
220	1122	1417
221	1127	1411
222	1131	1405
223	1136	1399
224	1141	1394
225	1145	1389
226	1150	1383
227	1154	1377
228	1159	1371
229	1163	1365
230	1167	1359
231	1171	1353
232	1176	1347
233	1181	1342
234	1185	1337
235	1189	1331
236	1194	1325
237	1199	1319
238	1204	1315
239	1209	1310
240	1213	1304
241	1217	1298
242	1222	1292
243	1227	1288
244	1232	1283
245	1237	1277
246	1243	1273
247	1248	1268
248	1252	1262
249	1257	1257
250	1262	1251
251	1267	1247
252	1272	1242
253	1276	1236
254	1282	1231
255	1286	1225
256	1290	1219
257	1295	1214
258	1299	1208
259	1303	1203
260	1308	1197
261	1313	1192
262	1317	1187
263	1321	1181
264	1328	1178
265	1332	1172
266	1337	1167
267	1342	1161
268	1346	1156
269	1350	1150
270	1355	1145
271	1360	1140
272	1364	1134
273	1369	1129
274	1373	1123
275	1377	1118
276	1381	1112
277	1386	1107
278	1390	1101
279	1394	1095
280	1399	1090
281	1404	1085
282	1409	1080
283	1414	1076
284	1420	1071
285	1425	1066
286	1431	1062
287	1436	1057
288	1441	1052
289	1447	1048
290	1453	1043
291	1458	1038
292	1463	1034
293	1468	1028
294	1474	1024
295	1479	1019
296	1485	1015
297	1490	1010
298	1494	1004
299	1498	999
300	1503	994
301	1508	988
302	1512	983
303	1517	978
304	1521	972
305	1526	967
306	1533	963
307	1538	958
308	1543	954
